time_period,Time,Gender,Gender_Color,Native_Language,Language_Color,Nationality,Nationality_Color,Name,Link
1980,1989,Company,#727171,English/Italian,,America/Italy,,Modula-3,
1980,1989,Male,blue,English,green,unknown,,PowerBASIC,
1980,1989,Male,blue,English,green,America,#A40B5D,VisSim,
1980,1989,Male,blue,Swiss,#B5B5B6,Swedish,,LPC,
1980,1989,Male,blue,English,green,America,#A40B5D,Bash,People with color
1980,1989,Company,#727171,English,green,England,#E8BE21,Magik,
1990,1990,Male,blue,French,#2EA7E0,France,#ECAB43,AMOS BASIC,
1990,1990,Male,blue,English,green,America/Canada,,AMPL,
1990,1990,Male,blue,English/Cantoone,,Canada,#171C61,J,
1990,1990,Male,blue,English,green,America,#A40B5D,Z Shell,
1990,1991,Male,blue,English,green,America,#A40B5D,GNU E,
1990,1991,Male,blue,German,#AEDBD4,Austria/Swizerland,,Oberon-2,
1990,1991,Male,blue,Dutch,#C9BC9C,Netherland,#823720,Python,
1990,1991,Male,blue,German,#AEDBD4,German,yellow,Oz,
1990,1991,Male,blue,English,green,America,#A40B5D,Visual Basic,
1990,1991,Male,blue,German,#AEDBD4,Germany,yellow,Q,
1990,1992,Company,#727171,English,green,America,#A40B5D,Dylan,
1990,1992,Male,blue,English,green,Unknown,,S-Lang,
1990,1993,Company,#727171,English,green,America,#A40B5D,Self,
1990,1993,Male,blue,Dutch,#C9BC9C,Netherland,#823720,Amiga E,
1990,1993,Male,blue,Swiss,#B5B5B6,Swizerland,#F39800,Brainfuck,
1990,1993,Company,#727171,English,green,America,#A40B5D,AppleScript,
1990,1993,Male,blue,English,green,Canada,#171C61,K,
1990,1993,Male,blue,portuguese,#44B8AF,Brzial,#612389,Lua,
1990,1993,Male,blue,English,green,Canada,#171C61,R,
1990,1993,Uni,#727171,English,green,America,#A40B5D,ZPL,
1990,1993,Male,blue,English,green,Canada,#171C61,Euphoria,
1990,1994,Male,blue,French,#2EA7E0,France,#ECAB43,Claire,
1990,1994,Company,#727171,Swiss,#B5B5B6,Swizerland,#F39800,RAPID,
1990,1994,Male,blue,swedish,#A1CFA3,sweden,#B1911B,Pike,
1990,1994,Female,#E4007F,English,green,America,#A40B5D,ANS Forth,
1990,1995,Male,blue,English,green,America,#A40B5D,Ada 95,
1990,1995,Male,blue,Danish,,Danmark,#DAE000,Borland Delphi,
1990,1995,Company,#727171,English,green,America,#A40B5D,ColdFusion,
1990,1995,Male,blue,English,green,Canada,#171C61,Java,
1990,1995,Male,blue,English,green,America,#A40B5D,LiveScript,
1990,1995,Male,blue,English,green,Austrilia,#331737,Mercury,
1990,1995,Male,blue,Danish/English,#B5B5B6,Danmark/Canada,,PHP,
1990,1995,Male,blue,Japanese,,Japan,#EA5514,Ruby,
1990,1995,Male,blue,English,green,America,#A40B5D,JacaScript,
1990,1995,Male,blue,English,green,America,#A40B5D,Racket,
1990,1996,Male,blue,English,green,America,#A40B5D,Curl,
1990,1996,Company,#727171,English,green,America,#A40B5D,Lasso,
1990,1996,Group,#727171,English,green,UK,#E8BE21,Perl Data Language(PDL),
